"Activity.Type","Date","Favorite","Title","Distance","Calories","Time","Avg.HR","Max.HR","Aerobic.TE","Avg.Run.Cadence","Max.Run.Cadence","Avg.Pace","Best.Pace","Total.Ascent","Total.Descent","Avg.Stride.Length","Avg.Vertical.Ratio","Avg.Vertical.Oscillation","Avg.Ground.Contact.Time","Training.Stress.Score.","Avg.Power","Max.Power","Grit","Flow","Total.Strokes","Avg..Swolf","Avg.Stroke.Rate","Total.Reps","Dive.Time","Min.Temp","Surface.Interval","Decompression","Best.Lap.Time","Number.of.Laps","Max.Temp","Moving.Time","Elapsed.Time","Min.Elevation","Max.Elevation","date_time","date_cal","Time_hms","temp","cat_dist","HR_zone","pace"
"Treadmill Running","2024-02-19 16:26:36","false","Treadmill Running",4.01,"483","00:36:35",156,171,3,"167","176","9:07","7:50","--","--",1.17,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:03:30.1",5,NA,"00:36:34","00:36:35","--","--",2024-02-19 16:26:36,2024-02-19,00:36:35,2000-12-12 00:09:07,"short","Zone_3",547
"Treadmill Running","2024-01-16 18:10:23","false","Treadmill Running",12.35,"1,400","01:53:38",163,182,4.8,"164","174","9:12","7:28","--","--",1.09,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:35.8",13,NA,"01:52:24","01:55:36","--","--",2024-01-16 18:10:23,2024-01-16,01:53:38,2000-12-12 00:09:12,"long","Zone_4",552
"Treadmill Running","2024-01-11 08:32:24","false","Treadmill Running",8,"1,047","01:13:57",175,189,5,"159","210","9:15","8:04","--","--",1.03,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:05:29.3",8,NA,"01:11:42","01:13:57","--","--",2024-01-11 08:32:24,2024-01-11,01:13:57,2000-12-12 00:09:15,"medium","Zone_4",555
"Treadmill Running","2024-04-05 17:30:25","false","Treadmill Running",5.06,"718","00:47:27",170,187,4.1,"159","180","9:23","8:20","--","--",1.06,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:02:38.2",6,NA,"00:44:42","00:47:27","--","--",2024-04-05 17:30:25,2024-04-05,00:47:27,2000-12-12 00:09:23,"medium","Zone_4",563
"Treadmill Running","2024-02-13 16:18:35","false","Treadmill Running",1.73,"221","00:16:12",158,173,2.5,"161","176","9:23","8:00","--","--",1.06,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:06:34.0",2,NA,"00:15:27","00:17:13","--","--",2024-02-13 16:18:35,2024-02-13,00:16:12,2000-12-12 00:09:23,"short","Zone_3",563
"Running","2024-02-09 16:40:29","false","Waterville Running",2.02,"267","00:19:14",163,178,2.7,"158","176","9:30","8:21","5","5",1.07,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:00:15.4",3,NA,"00:19:13","00:19:15","221","226",2024-02-09 16:40:29,2024-02-09,00:19:14,2000-12-12 00:09:30,"short","Zone_4",570
"Running","2024-04-18 07:57:40","false","Waterville Running",4.88,"619","00:46:27",157,173,3.1,"165","171","9:31","8:06","295","290",1.02,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:08:18.7",5,NA,"00:46:27","00:46:27","137","346",2024-04-18 07:57:40,2024-04-18,00:46:27,2000-12-12 00:09:31,"short","Zone_3",571
"Running","2024-02-01 10:27:31","false","Brookline Running",6.08,"782","00:58:13",164,185,4,"149","179","9:34","6:23","165","40",1.13,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:00:51.1",7,NA,"00:55:14","01:11:51","--","148",2024-02-01 10:27:31,2024-02-01,00:58:13,2000-12-12 00:09:34,"medium","Zone_4",574
"Treadmill Running","2024-02-04 13:34:21","false","Treadmill Running",4.19,"567","00:40:31",167,179,3.5,"165","173","9:40","8:32","--","--",0.91,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:08:39.5",4,NA,"00:40:13","00:40:31","--","--",2024-02-04 13:34:21,2024-02-04,00:40:31,2000-12-12 00:09:40,"short","Zone_4",580
"Running","2024-02-08 19:21:49","false","Running",5.24,"650","00:51:06",159,173,3.2,"156","169","9:46","8:43","--","--",1.06,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:03:42.3",6,NA,"00:50:09","00:51:06","--","--",2024-02-08 19:21:49,2024-02-08,00:51:06,2000-12-12 00:09:46,"medium","Zone_3",586
"Treadmill Running","2024-02-13 17:17:00","false","Treadmill Running",2,"282","00:19:36",166,179,2.9,"165","170","9:48","8:26","--","--",1.05,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:01:01.7",3,NA,"00:19:27","00:19:36","--","--",2024-02-13 17:17:00,2024-02-13,00:19:36,2000-12-12 00:09:48,"short","Zone_4",588
"Treadmill Running","2024-01-09 17:12:00","false","Treadmill Running",6,"715","00:59:10",160,189,4.2,"155","200","9:52","8:11","--","--",1,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:09:05.2",6,NA,"00:55:38","00:59:10","--","--",2024-01-09 17:12:00,2024-01-09,00:59:10,2000-12-12 00:09:52,"medium","Zone_4",592
"Treadmill Running","2024-01-10 17:10:30","false","Treadmill Running",4,"425","00:39:37",148,163,2.8,"152","173","9:54","7:29","--","--",1.05,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:59.4",5,NA,"00:35:44","00:39:37","--","--",2024-01-10 17:10:30,2024-01-10,00:39:37,2000-12-12 00:09:54,"short","Zone_3",594
